id,name,characteristic,period_s,phases,flash_s,optic,optic_evidence,rpm,panels,sim_mode,sec_per_turn,turn_source,beam_width_deg,width_source,sectored,flags
anjengo-lighthouse,Anjengo Lighthouse,Fl (2) W 20 sec (fl 0.44+3.33+0.44+15.79 Sec),20,"[0.44, 3.33, 0.44, 15.79]",0.44,revolving,Type: Revolving Beacon; Rotation Device: Stepper motor (40 Kg cm); R.P.M. 3,3,2,revolving,20,ledger 3 rpm,2.4,ledger horizontal divergence,False,divergence 2.4° at 20 s/turn gives a 0.13 s flash; ledger says 0.44 s
antervedi-lighthouse,Antervedi Lighthouse,Flash (2) White every 15 Sec (FL0.4+ec3.4+FL0.4+ec10.8),15,"[0.4, 3.4, 0.4, 10.8]",0.41,revolving,Size: 300 mm (4th order) Revolving; Rotation Device: Twin stepper motor direct drive; Rotation Speed 02 RPM,2,4,revolving,30,ledger 2 rpm,4.97,ledger horizontal divergence,False,
armagon-lighthouse,Armagon Lighthouse,FL W 15Seconds (Fl 0.38. EC 14.62),15,"[0.38, 14.62]",0.38,revolving,Rotation Device: Brushless DC direct-drive motor (step by step); Rotation Speed 0.667 RPM,0.667,6,revolving,90,ledger 0.667 rpm,3,ledger horizontal divergence,False,
arnala-lighthouse,Arnala Lighthouse,FL 3 WR 15 Sec. (FL 0.83 Sec.),15,"[0.83, 1.5, 0.83, 1.5, 0.83, 9.51]",0.83,revolving,Rotation Device: motor drive brushless direct drive motor; R.P.M. 2,2,6,revolving,30,ledger 2 rpm,1.6,ledger horizontal divergence,True,divergence 1.6° at 30 s/turn gives a 0.13 s flash; ledger says 0.83 s
aves-lighthouse,AVES LIGHTHOUSE,"Fl (2) W 7 Sec (fl 1.0, ec 1.0, fl 1.0, ec 4.0)",7,"[1.0, 1.0, 1.0, 4.0]",1.0,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
azhikode-lighthouse-and-dgps-station,AZHIKODE LIGHTHOUSE AND DGPS STATION,Fl (3) W 20 sec,20,"[0.32, 2.0, 0.32, 2.0, 0.32, 15.04]",0.32,revolving,Type: Revolving Beacon; Rotation Device: Dual Stepper motor (20Kgcm); R.P.M. 3 RPM,3,3,revolving,20,ledger 3 rpm,7.64,ledger horizontal divergence,False,
bampoka-lighthouse,BAMPOKA LIGHTHOUSE,"Fl (1) W 20 Sec (fl 1, ec 2, fl 1, ec 16)",20,"[1.0, 2.0, 1.0, 16.0]",1,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
baruva-lighthouse,Baruva Lighthouse,FL (I) W 15 SEC,15,"[0.8, 14.2]",0.8,revolving,Optical Equipment: TRB 220 (Revolving); RPM 2,2,6,revolving,30,ledger 2 rpm,2.4,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 2 | divergence 2.4° at 30 s/turn gives a 0.20 s flash; ledger says 0.8 s
battimalv-lighthouse,BATTIMALV LIGHTHOUSE,"Fl (4) W 20 Sec (fl 0.5, ec 1, fl 0.5, ec 1, fl 0.5, ec 1, fl 0.5, ec 15)",20,"[0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 15.0]",0.5,flasher,Optic: Cut and Polished drum optic inside Lantern; Type: LED Flasher; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
belekeri-lighthouse,Belekeri Lighthouse,Fl. (3)White 10 sec.,10,"[0.7, 1.0, 0.7, 1.0, 0.7, 5.9]",,flasher,Optic: DRUM TYPE; Rotation Device -NA-; R.P.M. -NA-,,,flashing,,ledger: LED flasher / fixed optic,,,False,
betul-lighthouse,Betul Lighthouse,FL4 (W) 15S,15,"[0.95, 1.5, 0.95, 1.5, 0.95, 1.5, 0.95, 6.7]",,revolving,Type: Revolving; Rotation Device: Stepper motor; R.P.M. 4 RPM,4,3,revolving,15,ledger 4 rpm,22.8,implied by flash duration and rotation,False,ledger lists 3 panels; its rpm and rhythm imply 4
beypore-lighthouse,BEYPORE LIGHTHOUSE,Flash (2) White-15 Seconds,15,"[0.48, 3.27, 0.48, 10.77]",0.48,revolving,Optic: Revolving Beacon; Rotation Device: Dual Stepper motor; R.P.M. 2,2,4,revolving,30,ledger 2 rpm,7.6,ledger horizontal divergence,False,
bhadreshwar-vts-repeater-and-lighthouse-station,Bhadreshwar Vts Repeater And Lighthouse Station,"White 3 flash every 20 Sec [(fl 1s, ec 2s)X2, fl 1s, ec13s]",20,"[1.0, 2.0, 1.0, 2.0, 1.0, 13.0]",1,flasher,Type of Light (LED Flasher); Type of Light structure: Stationary LED Flashing Light,,,flashing,,ledger: LED flasher / fixed optic,,,False,
bhatkal-lighthouse,Bhatkal Lighthouse,"fl (2) W 20 Sec. (fl 0.23, Oc 4.77, fl 0.23, ec. 14.77)",20,"[0.23, 4.77, 0.23, 14.77]",0.7,revolving,Type: Revolving; Rotation Device: Dual Stepper Motor 40 Kgcm; R.P.M. 3,3,2,revolving,20,ledger 3 rpm,12.54,ledger horizontal divergence,True,divergence 12.54° at 20 s/turn gives a 0.70 s flash; ledger says 0.23 s
bheemlipatnam-lighthouse,Bheemlipatnam Lighthouse,3FL (W) every 15Seconds (FL 1+ EC 2+FL 1+EC 2+FL 1+EC8=15sec),15,"[1.0, 2.0, 1.0, 2.0, 1.0, 8.0]",1,flasher,"Type: LED Light Beacon; illuminant 12V, 18 W LED Light (Sea lite make SL155); no rotation device listed",,,flashing,,ledger: LED flasher / fixed optic,,,False,
bhirbhanjan-lighthouse,Bhirbhanjan Lighthouse,Fl R 10 Sec. (0.5+9.5=10 Sec),10,"[0.5, 9.5]",0.5,flasher,Rotation Device: N/A; R.P.M.: N/A; Illuminant: LED Light; Pedestal: M.S. Angle Iron,,,flashing,,ledger: LED flasher / fixed optic,,,False,
bitra-lighthouse,BITRA LIGHTHOUSE,Fl (2) White 10 Sec,10,"[0.7, 1.0, 0.7, 7.6]",,flasher,"Optic MBL-160, Type: LED Flasher",,,flashing,,ledger: LED flasher / fixed optic,,,False,
bural-reef-lighthouse,Bural Reef Lighthouse,Fl (W) 1.1Sec. (0.5 + 0.6 = 1.1Sec),1.1,"[0.5, 0.6]",0.5,flasher,Type of Light (LED Flasher): Marine LED Lantern; Operation: Flashing,,,flashing,,ledger: LED flasher / fixed optic,,,False,
campbellbay-dgps-station,Campbellbay-DGPS-Station,5,,,,,Optical equipment section blank,,,,,,,,False,
cape-cannaught-lighthouse,CAPE CANNAUGHT LIGHTHOUSE,"Fl (2) W 15 Sec (fl 0.5, ec 1, fl 0.5, ec 13)",15,"[0.5, 1.0, 0.5, 13.0]",0.5,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
chandrabhaga-lighthouse,Chandrabhaga Lighthouse,FL W 10 Sec,10,"[0.3, 9.7]",0.3,revolving,"Size: 4th order small, revolving; RPM 3; inverter for 'Rotation'",3,2,revolving,20,ledger 3 rpm,5.3,ledger horizontal divergence,False,
chank-tapu-lighthouse,Chank Tapu Lighthouse,Fl (W) 15Sec. (1 + 14 = 15Sec),15,"[1.0, 14.0]",1,flasher,Type of Light (LED Flasher); Operation- Flashing; Horizontal Divergence 360°,,,flashing,,ledger: LED flasher / fixed optic,,,False,
chaul-kadu-lighthouse,Chaul kadu lighthouse,"fl. R 3 Sec. (fl. 0.5, EC 2.5)",3,"[0.5, 2.5]",0.5,flasher,LED lantern Sealite SL-125/3; Pedestal: Fixed - Cast Iron; Rotation Device and R.P.M. '---',,,flashing,,ledger: LED flasher / fixed optic,,,False,
chennai-lighthouse,CHENNAI LIGHTHOUSE,White Group Flash (2) Every 2 Sec (0.57+1.93+0.57+6.93),10.0,"[0.57, 1.93, 0.57, 6.93]",0.57,revolving,Optic/Type: 3rd Order Revolving Optic; Rotation Device: Stepper Motor; R.P.M. 3,3,4,revolving,20.0,ledger 3 rpm,6,ledger horizontal divergence,False,
chetlat-lighthouse,CHETLAT LIGHTHOUSE,Fl (3) White 30 Sec,30,"[1.0, 2.0, 1.0, 2.0, 1.0, 23.0]",,flasher,"Optic MBL-160, Type: LED Flasher",,,flashing,,ledger: LED flasher / fixed optic,,,False,
chetwai-lighthouse,Chetwai Lighthouse,Fl (2) W 20 sec (fl0.46+2.2+0.46+16.88sec),20,"[0.46, 2.2, 0.46, 16.88]",0.46,revolving,Type: AGA Revolving Beacon; Rotation Device: Dual Stepper motor; R.P.M. 3/2,1.5,2,revolving,40,ledger 1.5 rpm,7.64,ledger horizontal divergence,False,ledger lists 2 panels; its rpm and rhythm imply 4
chhachhi-lighthouse-and-vts-station,Chhachhi Lighthouse And Vts Station,Fl (3)W 15 sec. [(0.35+2.15+0.35+2.15+0.35+9.65 =15 sec.)],15,"[0.35, 2.15, 0.35, 2.15, 0.35, 9.65]",0.35,revolving,B.B.T. France make 250 mm (4th order large) revolving type,,,revolving,15,one turn per period (no usable rpm or panel count),25.2,ledger horizontal divergence,False,
chidiyatapu-lighthouse,Chidiyatapu Lighthouse,"Fl (2) W 10 Sec. fl 0.8,ec 1.2, fl 0.8, ec 7.2",10,"[0.8, 1.2, 0.8, 7.2]",0.8,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
chowra-lighthouse,CHOWRA LIGHTHOUSE,"Fl (1) W 15 Sec (fl 0.5, ec 14.5)",15,"[0.5, 14.5]",0.5,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
cuddalore-lighthouse,Cuddalore Lighthouse,WHITE FLASH EVERY 5 SECS (FL 2.0 + EC 3.0),5,"[2.0, 3.0]",2.0,flasher,Type: LED FLASHER; Rotation Device '-'; R.P.M. '-',,,flashing,,ledger: LED flasher / fixed optic,,,False,
dahanu-lighthouse,Dahanu Lighthouse,fl W 05 Sec. (Fl 0.3 ),5,"[0.3, 4.7]",0.3,flasher,Type: LED Flasher; Rotation Device: 'WhiteFlashing Light'; R.P.M.: NA; Pedestal: GI pipe stand,,,flashing,,ledger: LED flasher / fixed optic,,,False,
dariapur-lighthouse,Dariapur Lighthouse,Flash 2 (W) 20 Sec,20,"[0.25, 2.0, 0.25, 17.5]",0.25,revolving,Size: 250 mm (4th Order) revolving; RPM 1.5; Pedestal: Mercury Float,1.5,4,revolving,40,ledger 1.5 rpm,2.28,ledger horizontal divergence,False,
devgad-lighthouse,Devgad Lighthouse,Group Flash(4) white for every 30Sec,30,"[0.7, 2.0, 0.7, 2.0, 0.7, 2.0, 0.7, 21.2]",0.7,revolving,Optic 3rd Order Small Revolving Optic; Rotation Device dual stepper motor; R.P.M. 2,2,4,revolving,30,ledger 2 rpm,8.36,ledger horizontal divergence,False,
dhanushkodi-lighthouse,Dhanushkodi Lighthouse,Fl (3) W 20 sec,20,"[0.75, 2.0, 0.75, 2.0, 0.75, 13.75]",0.75,revolving,Type: Revolving; Rotation Device: Stepper motor; R.P.M. 3 RPM,3,3,revolving,20,ledger 3 rpm,5.7,ledger horizontal divergence,False,
diu-head-lighthouse,Diu-head Lighthouse,Fl W 10 sec. 0.3+9.7=10 Sec.,10,"[0.3, 9.7]",0.3,revolving,Size: 700 mm (2nd order large) revolving type; Rotation Device: stepper motor direct drive; R.P.M. 1.5,1.5,,revolving,40,ledger 1.5 rpm,3.25,ledger horizontal divergence,False,
dolphin-nose-lighthouse,Dolphin Nose Lighthouse,FL.W. 10 Sec (Fl 0.33 Sec. Ec 9.67 Sec.),10,"[0.33, 9.67]",0.33,revolving,Size: 375 mm (3rd order small) Revolving; Rotation Device: Twin Stepper motor Direct Drive; Rotation Speed 3 RPM,3,1,revolving,20,ledger 3 rpm,5.95,ledger horizontal divergence,False,ledger lists 1 panels; its rpm and rhythm imply 2
dwarka-point-lighthouse,Dwarka Point Lighthouse,Fl (2)W 20 sec. (0.31+4.69+0.31+14.69=20sec.),20,"[0.31, 4.69, 0.31, 14.69]",0.31,revolving,Rotation Device: Stepper motor; R.P.M. 3; Pedestal: Mercury float,3,2,revolving,20,ledger 3 rpm,12.6,ledger horizontal divergence,False,
east-island-lighthouse-and-dgps-station,EAST ISLAND LIGHTHOUSE AND DGPS STATION,Fl (1) W 15 sec (fl 0.8),15,"[0.8, 14.2]",0.8,revolving,Pedestal: Mercury float; Rotation Device: Stepper motor; R.P.M. 1.333,1.333,3,revolving,45,ledger 1.333 rpm,1.24,ledger horizontal divergence,False,divergence 1.24° at 45 s/turn gives a 0.15 s flash; ledger says 0.8 s
false-point-lighthouse,False Point Lighthouse,Fl (2) W 20 Sec,20,"[0.25, 2.0, 0.25, 17.5]",0.25,revolving,"Size: 250 mm (4th order small), revolving; R.P.M. 3; Pedestal: Mercury Float",3,2,revolving,20,ledger 3 rpm,4.56,ledger horizontal divergence,False,
ghogha-lighthouse,Ghogha Lighthouse,Occulting Red 15 Sec. (11 + 4= 15 Sec.),15,"[11.0, 4.0]",11,flasher,"Make: B.B.T, Drum optic (fixed); Pedestal Fixed",,,flashing,,ledger: LED flasher / fixed optic,,,False,
gopalpur-lighthouse,Gopalpur Lighthouse,FL W 5 Sec.,5,"[0.25, 4.75]",0.25,revolving,"Size: 4th Order (large), revolving; RPM 3; Pedestal: Mercury Float",3,4,revolving,20,ledger 3 rpm,4.58,ledger horizontal divergence,False,
gopnath-lighthouse-dgps-station,Gopnath Lighthouse & Dgps Station,Fl (3) W 20sec (0.3+3.7)2+0.3+11.7=20Sec,20,"[0.3, 3.7, 0.3, 3.7, 0.3, 11.7]",0.3,revolving,300 mm (4th order) revolving type; stepper motor direct drive; R.P.M. 3,3,,revolving,20,ledger 3 rpm,21.0,ledger horizontal divergence,False,divergence 20.9998° at 20 s/turn gives a 1.17 s flash; ledger says 0.3 s
harnai-lighthouse,Harnai Lighthouse,fl R 05 Sec. (Fl 0.5 ),5,"[0.5, 4.5]",0.5,flasher,Rotation Device: RedFlashing Light; R.P.M. NA; Pedestal GI pipe stand; Illuminant LED Light,,,flashing,,ledger: LED flasher / fixed optic,,,False,
hazira-lighthouse-and-dgps-station,Hazira Lighthouse And D.G.P.S Station,"Fl (3)W 15 Sec. (fl. 0.4, ec. 2.10)(fl. 0.4,ec.2.10) (fl 0.4, ec. 9.60)",15,"[0.4, 2.1, 0.4, 2.1, 0.4, 9.6]",0.4,revolving,Type: Revolving; Rotation Device: Dual Stepper Motor 40 Kgcm; R.P.M. 2,2,6,revolving,30,ledger 2 rpm,12.54,ledger horizontal divergence,False,
honnavar-lighthouse,Honnavar Lighthouse,fl W 15 Sec.,15,"[0.1, 14.9]",0.1,revolving,Type: WM - RB 500 Marine Rotating Beacon; Rotation Device: 2 Nos. Stepper Motors; R.P.M. 0.67,0.67,3,revolving,90,ledger 0.67 rpm,1.65,ledger horizontal divergence,False,ledger lists 3 panels; its rpm and rhythm imply 6 | divergence 1.65° at 90 s/turn gives a 0.41 s flash; ledger says 0.1 s
indira-point-lighthouse,Indira Point Lighthouse,"Fl (2) W 20 Sec (fl 1.0, ec 3.0, fl 1, ec 15)",20,"[1.0, 3.0, 1.0, 15.0]",1.0,flasher,Type: LED Flasher; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
interview-lighthouse,INTERVIEW LIGHTHOUSE,"Fl (2) W 20 Sec (fl 1.0,ec 3.0, fl 1, ec 15)",20,"[1.0, 3.0, 1.0, 15.0]",1.0,flasher,Type: LED Flasher; Rotation Device 'White Flashing Light'; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
isakapalli-lighthouse,Isakapalli Lighthouse,"Group Flash(2) White, every 10 Seconds (0.3+3.2+0.3+6.2) Sec",10,"[0.3, 3.2, 0.3, 6.2]",0.3,revolving,Size: 500mm (Rotating Beacon); Rotation Device: Stepper motor 20 kg-cm; Rotation Speed 3RPM,3,4,revolving,20,ledger 3 rpm,5.4,implied by flash duration and rotation,False,
jafrabad-lighthouse,Jafrabad Lighthouse,Fl W 10 Sec. (0.3 + 9.7 = 10 Sec.),10,"[0.3, 9.7]",0.3,revolving,Type: revolving; Rotation Device: Stepper motor; R.P.M. 2,2,,revolving,30,ledger 2 rpm,25.2,ledger horizontal divergence,False,divergence 25.1998° at 30 s/turn gives a 2.10 s flash; ledger says 0.3 s
jaigarh-lighthouse,Jaigarh Lighthouse,"GP fl (4) W every 20 Sec. (fl.0.25 ec.2.6, fl.0.25 ec.2.6, fl.0.25 ec.2.6, fl.0.25 ec.11.2)",20,"[0.25, 2.6, 0.25, 2.6, 0.25, 2.6, 0.25, 11.2]",0.25,revolving,Type: 2nd order revolving; Rotation Device: Dual Stepper Motor 40 Kgcm; R.P.M. 3,3,4,revolving,20,ledger 3 rpm,4.48,ledger horizontal divergence,False,
jakhau-lighthouse-and-vts-station,Jakhau Lighthouse and Vts Station,Fl W 10 sec. (0.3 flash+9.7eclipse =10 sec.),10,"[0.3, 9.7]",0.3,revolving,375mm (3rd order small) revolving type; Rotation device: electrically operated stepper motor; R.P.M 2,2,3,revolving,30,ledger 2 rpm,16.8,ledger horizontal divergence,False,divergence 16.7998° at 30 s/turn gives a 1.40 s flash; ledger says 0.3 s
jegri-island-lighthouse,Jegri island Lighthouse,Fl(2)W20 Sec. (0.3+3.7+0.3+15.7=20 Sec),20,"[0.3, 3.7, 0.3, 15.7]",0.3,revolving,Type: Revolaving; Rotation Device: Stepper Motor; R.P.M. 1.5,1.5,4,revolving,40,ledger 1.5 rpm,16.8,ledger horizontal divergence,False,divergence 16.7998° at 40 s/turn gives a 1.87 s flash; ledger says 0.3 s
jhanjhmer-lighthouse,Jhanjhmer Lighthouse,Fl(1)W10 Sec. (1+9=10 Sec),10,"[1.0, 9.0]",1,flasher,"Sealite make SL155 LED lantern on G.I. pedestal; Rotation Device '--', R.P.M. '--'",,,flashing,,ledger: LED flasher / fixed optic,,,False,
jodiya-lighthouse,Jodiya Lighthouse,Fl (W) 10Sec. (1 + 9 = 10Sec),10,"[1.0, 9.0]",1,flasher,"Marine LED Lantern NE-9A, Type of Light (LED Flasher), Operation: Flashing",,,flashing,,ledger: LED flasher / fixed optic,,,True,
kabra-island-lighthouse,Kabra Island Lighthouse,"Fl (3) W 20 Sec (fl 0.8,ec 1.2) x 2,fl 0.8,ec15.2",20,"[0.8, 1.2, 0.8, 1.2, 0.8, 15.2]",0.8,flasher,Type: LED Flasher; Rotation Device 'White Flashing Light'; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
kachhigadh-lighthouse,Kachchigadh Lighthouse,Fl(4)W15 Sec. (0.4+1.5)3+0.4+8.9=15 Sec),15,"[0.4, 1.5, 0.4, 1.5, 0.4, 1.5, 0.4, 8.9]",0.4,revolving,Rotation Device: Stepper motor; R.P.M. 4; Pedestal: Mercury float,4,4,revolving,15,ledger 4 rpm,9,ledger horizontal divergence,False,
kadalur-point-lighthouse,KADALUR POINT LIGHTHOUSE,Fl (1) W 5 sec (fl 0.27),5,"[0.27, 4.73]",0.27,revolving,Type: Revolving Type; Rotation Device: Stepper motor; R.P.M. 3,3,4,revolving,20,ledger 3 rpm,4.3,ledger horizontal divergence,False,
kadamat-lighthouse,KADAMAT LIGHTHOUSE,Fl (4) White 20 Sec,20,"[1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 10.0]",,flasher,"Optic MBL-160, Type: LED Flasher",,,flashing,,ledger: LED flasher / fixed optic,,,False,
kadapakkam-lighthouse,KADAPAKKAM LIGHTHOUSE,"White, Group 3 Flash Every 20 Second",20,"[0.45, 4.55, 0.45, 4.55, 0.45, 9.55]",0.45,revolving,Rotation Device: Inbuilt stepper motor with drive; R.P.M. 3 RPM,3,8,revolving,20,ledger 3 rpm,8.1,implied by flash duration and rotation,False,ledger lists 8 panels; its rpm and rhythm imply 3
kalingapatnam-lighthouse,Kalingapatnam Lighthouse,FL (3) W 15 SEC,15,"[0.38, 1.5, 0.38, 1.5, 0.38, 10.86]",0.38,revolving,Optical Equipment: TRB 220 (Revolving); RPM 4,4,6,revolving,15,ledger 4 rpm,2.4,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 3 | divergence 2.4° at 15 s/turn gives a 0.10 s flash; ledger says 0.38 s
kalpeni-lighthouse,Kalpeni Lighthouse,GP.FL.3(W)EVERY 20SECS,20,"[0.53, 2.0, 0.53, 2.0, 0.53, 14.41]",0.53,revolving,Size: 300mm 4th revolving optic; Rotation Device: Stepper motor; R.P.M. 3 RPM,3,3,revolving,20,ledger 3 rpm,9.53,ledger horizontal divergence,False,
kalubhar-lighthouse,Kalubhar Lighthouse,Fl (3W) in 15Sec ((0.75 + 2.25)2 + 0.75 + 8.25 = 15Sec),15,"[0.75, 2.25, 0.75, 2.25, 0.75, 8.25]",0.75,flasher,Marine LED Lantern NE-9A with programmable flasher; no rotation device,,,flashing,,ledger: LED flasher / fixed optic,,,True,
kanai-creek-lighthouse,Kanai Creek Lighthouse,"fl (2) W 20 Sec. (fl 0.5, ec 3,fl 0.5, ec 16)",20,"[0.5, 3.0, 0.5, 16.0]",0.5,revolving,Type: WM-RB 500 Marine Rotating Beacon; Rotation Device 2 Nos. 12V DC Stepper Motors; R.P.M. 1.5,1.5,6,revolving,40,ledger 1.5 rpm,1.5,ledger horizontal divergence,False,ledger lists 6 panels; its rpm and rhythm imply 4
kanhoji-angre-lighthouse,Kanhoji Angre Lighthouse,fl (2) WR 10 Sec.,10,"[3.0, 1.0, 3.0, 3.0]",3.0,revolving,Make: Wealth Marine WM-RB 500 Marine rotating beacon; R.P.M. 3 (Rotation Device field '---'),3,6,revolving,20,ledger 3 rpm,4.48,ledger horizontal divergence,True,ledger lists 6 panels; its rpm and rhythm imply 4 | divergence 4.48° at 20 s/turn gives a 0.25 s flash; ledger says 3 s
kanyakumari-lighthouse,Kanyakumari Lighthouse,GROUP OF (2) W 20 sec (.66+3.38+.66+15.3=20 Se),20,"[0.66, 3.38, 0.66, 15.3]",0.66,revolving,Rotation Device: stepper motor with drive; R.P.M. 1.5 r.p.m,1.5,4,revolving,40,ledger 1.5 rpm,5.93,ledger horizontal divergence,False,
karaikal-lighthouse,KARAIKAL LIGHTHOUSE,Fl (2) W every10 sec,10,"[0.7, 1.0, 0.7, 7.6]",,revolving,"Optic: Rotating Beacon, TRB-220; Rotation Device 12v/DC Stepper motor; R.P.M. 3",3,4,revolving,20,ledger 3 rpm,12.6,implied by flash duration and rotation,False,
kasargod-lighthouse,KASARGOD LIGHTHOUSE,Fl (3) W 20 sec,20,"[1.0, 2.0, 1.0, 2.0, 1.0, 13.0]",,revolving,Optic: Revolving Beacon; Rotation Device: Brushless DC motor (gear less direct drive); R.P.M. 3,3,3,revolving,20,ledger 3 rpm,2.4,ledger horizontal divergence,False,divergence 2.4° at 20 s/turn gives a 0.13 s flash; ledger says 1 s
katchal-east-lighthouse,KATCHAL EAST LIGHTHOUSE,"Fl (1) W 5 Sec (fl 0.5, ec 4.5)",5,"[0.5, 4.5]",0.5,flasher,Type: LED Flasher; Rotation Device: White Flashing Light; R.P.M. NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
katchal-west-lighthouse,KATCHAL WEST LIGHTHOUSE,"Fl (3) W 15 Sec (fl 0.5, ec 1, fl 0.5, ec 1, fl 0.5, ec 11.5)",15,"[0.5, 1.0, 0.5, 1.0, 0.5, 11.5]",0.5,flasher,Type: LED Flasher; Rotation Device: 'White Flashing Light'; R.P.M.: NA,,,flashing,,ledger: LED flasher / fixed optic,,,False,
kaup-lighthouse,Kaup Lighthouse,"fl (3) W 20 Sec. (fl 0.25, ec 3.75, fl 0.25, ec 3.75, Fl 0.25, ec 11.75)",20,"[0.25, 3.75, 0.25, 3.75, 0.25, 11.75]",0.25,revolving,Type: Cut and Polished Revolving; Rotation Device: Dual Stepper Motor; R.P.M. 3,3,3,revolving,20,ledger 3 rpm,4.48,ledger horizontal divergence,False,
kavaratti-lighthouse,KAVARATTI LIGHTHOUSE,Fl (1) White 5 Sec (0.33+4.67 =5.0sec),5,"[0.33, 4.67]",0.33,revolving,Type: Revolving Beacon; Rotation Device stepper motor (20kg/cm); R.P.M. 6,6,2,revolving,10,ledger 6 rpm,8,ledger horizontal divergence,False,
